incoming_amt,incoming_expiry,incoming_add_ts,incoming_remove_ts,outgoing_amt,outgoing_expiry,outgoing_add_ts,outgoing_remove_ts,forwarding_node,forwarding_alias,chan_in,chan_out
8873,520,1711634129831897917,1711634129831901417,7873,420,1711634129831899458,1711634129831900042,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,336450558164992
2914,520,1711634131728256000,1711634131728267583,1914,420,1711634131728259875,1711634131728263958,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,332052511653888,336450558164992
10000572,660,1711634133688731292,1711634133688747250,1571,240,1711634133688735167,1711634133688746958,02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,2,334251534909440,330953000026112
1571,240,1711634133688735167,1711634133688746958,1071,140,1711634133688735833,1711634133688741667,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,332052511653888
1090,264,1711634135729278750,1711634135729292208,90,120,1711634135729282750,1711634135729286375,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
9579,264,1711634139732631583,1711634139732641958,8575,120,1711634139732635458,1711634139732639667,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
353181,408,1711634139843627208,1711634139843634750,352181,328,1711634139843630833,1711634139843633042,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,346346162814976
1145,288,1711634141859557750,1711634141859570042,145,144,1711634141859562208,1711634141859566542,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,345246651187200,341948116303872
41359,260,1711634143739634458,1711634143739640083,40732,160,1711634143739636458,1711634143739638458,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,345246651187200
594293,244,1711634143742026292,1711634143742030500,593292,144,1711634143742028167,1711634143742028792,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,335351046537216
1814,388,1711634145693677708,1711634145693687792,1198,288,1711634145693680208,1711634145693686458,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,337550069792768,345246651187200
1198,288,1711634145693680208,1711634145693686458,198,144,1711634145693682125,1711634145693684250,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,345246651187200,341948116303872
1178,288,1711634145735167958,1711634145735172000,178,144,1711634145735169500,1711634145735171375,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,341948116303872
1810,224,1711634149881461792,1711634149881466208,810,80,1711634149881463958,1711634149881465792,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1001,224,1711634149883837750,1711634149883839958,1,80,1711634149883838208,1711634149883839667,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1081,224,1711634149886209583,1711634149886211750,81,80,1711634149886209958,1711634149886211417,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1788,260,1711634151692648708,1711634151692662458,1172,160,1711634151692654250,1711634151692658417,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,333152023281664,345246651187200
328981,444,1711634151692644583,1711634151692680708,327704,300,1711634151692652333,1711634151692680500,02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,2,334251534909440,336450558164992
327704,300,1711634151692652333,1711634151692680500,326997,200,1711634151692656917,1711634151692680292,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,345246651187200
326997,200,1711634151692656917,1711634151692680292,325997,120,1711634151692660917,1711634151692664958,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,345246651187200,339749093048320
